Year,Month,good,moderate
2013,1,720.0,0.0
2013,2,650.0,0.0
2013,3,722.0,0.0
2013,4,696.0,0.0
2013,5,695.0,5.0
2013,6,676.0,0.0
2013,7,698.0,2.0
2013,8,697.0,2.0
2013,9,675.0,0.0
2013,10,711.0,0.0
2013,11,696.0,0.0
2013,12,710.0,18.0
2014,1,673.0,3.0
2014,2,602.0,2.0
2014,3,549.0,1.0
2014,4,557.0,0.0
2014,5,700.0,0.0
2014,6,576.0,0.0
2014,7,623.0,0.0
2014,8,352.0,1.0
2014,9,426.0,0.0
2014,10,676.0,0.0
2014,11,652.0,0.0
2014,12,661.0,4.0
2015,1,683.0,4.0
2015,2,657.0,12.0
2015,3,670.0,5.0
2015,4,688.0,10.0
2015,5,719.0,21.0
2015,6,668.0,51.0
2015,7,544.0,135.0
2015,8,707.0,12.0
2015,9,663.0,26.0
2015,10,690.0,31.0
2015,11,651.0,6.0
2015,12,716.0,6.0
