Year,Month,good
2016,1,175
2016,2,179
2016,3,168
2016,4,576
2016,5,596
2016,6,613
2016,7,618
2016,8,600
2016,9,589
2016,10,472
2016,11,613
2016,12,637
2017,1,654
2017,2,588
2017,3,554
2017,4,618
2017,5,591
2017,6,603
2017,7,620
2017,8,645
2017,9,203
2017,10,204
2017,11,187
2017,12,199
2018,1,230
2018,2,596
2018,3,648
2018,4,544
2018,5,410
2018,6,565
2018,7,508
2018,8,424
2018,9,588
2018,10,679
2018,11,609
2018,12,664
2019,1,683
2019,2,603
2019,3,622
2019,4,704
2019,5,691
2019,6,659
2019,7,481
2019,8,676
2019,9,650
2019,10,686
2019,11,530
2019,12,667
2020,1,45
2020,2,19
2020,3,8
2020,6,8
2020,7,19
2020,8,19
2020,9,19
2020,10,19
2020,11,19
2020,12,17
