Year,Month,good,moderate
2016,4,406.0,2.0
2016,5,743.0,0.0
2016,6,716.0,0.0
2016,7,743.0,0.0
2016,8,700.0,0.0
2016,9,720.0,0.0
2016,10,519.0,2.0
2016,11,720.0,0.0
2016,12,634.0,0.0
2017,1,737.0,0.0
2017,2,672.0,0.0
2017,3,700.0,0.0
2017,4,718.0,0.0
2017,5,575.0,0.0
2017,6,685.0,0.0
2017,7,736.0,0.0
2017,8,744.0,0.0
2017,9,268.0,0.0
2018,2,672.0,0.0
2018,3,741.0,1.0
2018,4,676.0,0.0
2018,5,605.0,0.0
2018,6,625.0,0.0
2018,7,728.0,1.0
2018,8,740.0,4.0
2018,9,567.0,7.0
2018,10,744.0,0.0
2018,11,716.0,0.0
2018,12,741.0,3.0
2019,1,708.0,0.0
2019,2,671.0,0.0
2019,3,717.0,0.0
2019,4,720.0,0.0
2019,5,685.0,0.0
2019,6,648.0,0.0
2019,7,200.0,0.0
2019,8,740.0,4.0
2019,9,675.0,5.0
2019,10,385.0,3.0
2019,11,55.0,1.0
