Year,Month,good,moderate
2016,1,175.0,0.0
2016,2,179.0,0.0
2016,3,185.0,0.0
2016,4,576.0,0.0
2016,5,637.0,0.0
2016,6,613.0,0.0
2016,7,618.0,0.0
2016,8,614.0,0.0
2016,9,598.0,2.0
2016,10,620.0,0.0
2016,11,619.0,0.0
2016,12,643.0,0.0
2017,1,654.0,0.0
2017,2,589.0,0.0
2017,3,577.0,0.0
2017,4,636.0,0.0
2017,5,615.0,0.0
2017,6,509.0,0.0
2017,7,618.0,0.0
2017,8,647.0,0.0
2017,9,202.0,0.0
2017,10,211.0,0.0
2017,11,211.0,0.0
2017,12,211.0,0.0
2018,1,166.0,0.0
2018,2,549.0,0.0
2018,3,618.0,0.0
2018,4,510.0,28.0
2018,5,525.0,4.0
2018,6,510.0,0.0
2018,7,563.0,7.0
2018,8,555.0,7.0
2018,9,498.0,0.0
2018,10,598.0,0.0
2018,11,169.0,0.0
2018,12,410.0,7.0
2019,1,687.0,0.0
2019,2,652.0,0.0
2019,3,651.0,24.0
2019,4,714.0,0.0
2019,5,706.0,0.0
2019,6,664.0,0.0
2019,7,674.0,9.0
2019,8,629.0,5.0
2019,9,640.0,10.0
2019,10,684.0,12.0
2019,11,548.0,0.0
2019,12,672.0,0.0
2020,1,45.0,0.0
2020,2,19.0,0.0
2020,3,8.0,0.0
2020,6,4.0,0.0
2020,7,19.0,0.0
2020,8,14.0,5.0
2020,9,19.0,0.0
2020,10,16.0,3.0
2020,11,19.0,0.0
2020,12,17.0,0.0
