Year,Month,good,moderate
2016,4,17.0,0.0
2016,5,31.0,0.0
2016,6,30.0,0.0
2016,7,31.0,0.0
2016,8,31.0,0.0
2016,9,30.0,0.0
2016,10,31.0,0.0
2016,11,30.0,0.0
2016,12,31.0,0.0
2017,1,31.0,0.0
2017,2,28.0,0.0
2017,3,31.0,0.0
2017,4,30.0,0.0
2017,5,31.0,0.0
2017,6,30.0,0.0
2017,7,31.0,0.0
2017,8,31.0,0.0
2017,9,14.0,0.0
2018,2,28.0,0.0
2018,3,31.0,0.0
2018,4,30.0,0.0
2018,5,29.0,0.0
2018,6,30.0,0.0
2018,7,31.0,0.0
2018,8,31.0,0.0
2018,9,27.0,0.0
2018,10,31.0,0.0
2018,11,30.0,0.0
2018,12,31.0,0.0
2019,1,31.0,0.0
2019,2,28.0,0.0
2019,3,31.0,0.0
2019,4,30.0,0.0
2019,5,31.0,0.0
2019,6,30.0,0.0
2019,7,31.0,0.0
2019,8,31.0,0.0
2019,9,30.0,0.0
2019,10,30.0,1.0
2019,11,29.0,0.0
2019,12,31.0,0.0
2020,1,13.0,0.0
