Year,Month,good
2011,1,115
2011,2,134
2011,3,139
2011,4,131
2011,5,139
2011,6,139
2011,7,593
2011,8,588
2011,9,564
2011,10,582
2011,11,545
2011,12,575
2012,1,737
2012,2,551
2012,3,736
2012,4,706
2012,5,678
2012,6,711
2012,7,744
2012,8,728
2012,9,710
2012,10,729
2012,11,685
2012,12,744
2013,1,702
2013,2,619
2013,3,732
2013,4,712
2013,5,724
2013,6,720
2013,7,744
2013,8,731
2013,9,686
2013,10,715
2013,11,683
2013,12,732
2014,1,722
2014,2,647
2014,3,677
2014,4,694
2014,5,719
2014,6,695
2014,7,720
2014,8,726
2014,9,670
2014,10,639
2014,11,647
2014,12,716
2015,1,660
2015,2,613
2015,3,717
2015,4,701
2015,5,726
2015,6,683
2015,7,720
2015,8,706
2015,9,658
2015,10,695
2015,11,676
2015,12,731
