Year,Month,good,moderate
2011,1,122.0,0.0
2011,2,122.0,0.0
2011,3,116.0,6.0
2011,4,117.0,5.0
2011,5,120.0,2.0
2011,6,116.0,6.0
2011,7,568.0,8.0
2011,8,590.0,2.0
2011,9,571.0,7.0
2011,10,597.0,5.0
2011,11,559.0,7.0
2011,12,590.0,1.0
2012,1,722.0,0.0
2012,2,538.0,2.0
2012,3,738.0,5.0
2012,4,716.0,3.0
2012,5,736.0,7.0
2012,6,709.0,9.0
2012,7,720.0,24.0
2012,8,743.0,1.0
2012,9,703.0,14.0
2012,10,737.0,6.0
2012,11,714.0,5.0
2012,12,741.0,3.0
2013,1,741.0,0.0
2013,2,648.0,2.0
2013,3,744.0,0.0
2013,4,717.0,2.0
2013,5,740.0,4.0
2013,6,720.0,0.0
2013,7,744.0,0.0
2013,8,743.0,1.0
2013,9,714.0,0.0
2013,10,744.0,0.0
2013,11,720.0,0.0
2013,12,742.0,2.0
2014,1,744.0,0.0
2014,2,672.0,0.0
2014,3,731.0,0.0
2014,4,708.0,0.0
2014,5,744.0,0.0
2014,6,720.0,0.0
2014,7,744.0,0.0
2014,8,743.0,1.0
2014,9,713.0,6.0
2014,10,741.0,2.0
2014,11,719.0,1.0
2014,12,743.0,1.0
2015,1,724.0,0.0
2015,2,609.0,0.0
2015,3,722.0,0.0
2015,4,696.0,2.0
2015,5,731.0,0.0
2015,6,720.0,0.0
2015,7,744.0,0.0
2015,8,741.0,3.0
2015,9,719.0,1.0
2015,10,744.0,0.0
2015,11,720.0,0.0
2015,12,743.0,1.0
