Year,Month,good
2011,1,139
2011,2,139
2011,3,139
2011,4,139
2011,5,139
2011,6,403
2011,7,583
2011,8,581
2011,9,550
2011,10,581
2011,11,565
2011,12,582
2012,1,737
2012,2,683
2012,3,737
2012,4,706
2012,5,737
2012,6,712
2012,7,744
2012,8,729
2012,9,711
2012,10,679
2012,11,689
2012,12,727
2013,1,712
2013,2,648
2013,3,713
2013,4,679
2013,5,669
2013,6,647
2013,7,616
2013,8,606
2013,9,671
2013,10,720
2013,11,675
2013,12,732
2014,1,695
2014,2,613
2014,3,720
2014,4,713
2014,5,725
2014,6,673
2014,7,666
2014,8,703
2014,9,654
2014,10,639
2014,11,602
2014,12,685
2015,1,690
2015,2,654
2015,3,670
2015,4,679
2015,5,719
2015,6,696
2015,7,718
2015,8,724
2015,9,659
2015,10,700
2015,11,701
2015,12,584
