Year,Month,good
2011,1,139
2011,2,139
2011,3,139
2011,4,139
2011,5,139
2011,6,402
2011,7,595
2011,8,580
2011,9,563
2011,10,580
2011,11,564
2011,12,587
2012,1,731
2012,2,683
2012,3,736
2012,4,707
2012,5,737
2012,6,712
2012,7,721
2012,8,729
2012,9,711
2012,10,712
2012,11,683
2012,12,696
2013,1,666
2013,2,614
2013,3,677
2013,4,666
2013,5,717
2013,6,565
2013,7,736
2013,8,711
2013,9,692
2013,10,712
2013,11,651
2013,12,612
2014,1,715
2014,2,622
2014,3,720
2014,4,713
2014,5,724
2014,6,688
2014,7,695
2014,8,726
2014,9,670
2014,10,582
2014,11,625
2014,12,708
2015,1,696
2015,2,654
2015,3,718
2015,4,699
2015,5,719
2015,6,696
2015,7,718
2015,8,724
2015,9,659
2015,10,700
2015,11,701
2015,12,717
