Year,Month,good,moderate
2018,1,83.0,2.0
2018,2,74.0,0.0
2018,3,85.0,0.0
2018,4,76.0,3.0
2018,5,85.0,0.0
2018,6,91.0,0.0
2018,7,72.0,0.0
2018,8,67.0,0.0
2018,9,477.0,20.0
2018,10,479.0,17.0
2018,11,502.0,3.0
2018,12,528.0,4.0
2019,1,705.0,16.0
2019,2,632.0,26.0
2019,3,615.0,117.0
2019,4,664.0,23.0
2019,5,681.0,25.0
2019,6,692.0,22.0
2019,7,663.0,48.0
2019,8,661.0,58.0
2019,9,681.0,21.0
2019,10,691.0,31.0
2019,11,583.0,41.0
2019,12,716.0,15.0
2020,1,38.0,7.0
2020,2,19.0,0.0
2020,3,10.0,0.0
2020,4,19.0,0.0
2020,5,13.0,0.0
2020,6,19.0,0.0
2020,7,13.0,0.0
2020,8,10.0,9.0
2020,9,9.0,10.0
2020,10,9.0,10.0
2020,11,19.0,0.0
2020,12,17.0,0.0
