Year,Month,good,moderate
2013,1,50.0,0.0
2013,2,50.0,0.0
2013,3,50.0,0.0
2013,4,50.0,0.0
2013,5,50.0,0.0
2013,6,50.0,0.0
2013,7,50.0,0.0
2013,8,50.0,0.0
2013,9,50.0,0.0
2013,10,247.0,0.0
2013,11,482.0,0.0
2013,12,499.0,5.0
2014,1,738.0,0.0
2014,2,663.0,4.0
2014,3,744.0,0.0
2014,4,720.0,0.0
2014,5,736.0,0.0
2014,6,720.0,0.0
2014,7,739.0,0.0
2014,8,741.0,0.0
2014,9,718.0,2.0
2014,10,743.0,1.0
2014,11,715.0,0.0
2014,12,730.0,2.0
2015,1,738.0,6.0
2015,2,667.0,5.0
2015,3,574.0,4.0
2015,4,699.0,19.0
2015,5,737.0,7.0
2015,6,720.0,0.0
2015,7,743.0,0.0
2015,8,737.0,7.0
2015,9,533.0,9.0
2015,10,692.0,3.0
2015,11,717.0,2.0
2015,12,738.0,1.0
