Year,Month,good
2016,5,593
2016,6,616
2016,7,629
2016,8,705
2016,9,707
2016,10,737
2016,11,693
2016,12,645
2017,1,465
2017,2,663
2017,3,731
2017,4,689
2017,5,554
2017,6,672
2017,7,723
2017,8,736
2017,9,707
2017,10,720
2017,11,707
2017,12,701
2018,1,731
2018,2,672
2018,3,659
2018,4,548
2018,5,475
2018,6,714
2018,7,744
2018,8,732
2018,9,712
2018,10,212
2018,11,99
2018,12,711
2019,1,731
2019,2,632
2019,3,711
2019,4,301
2019,5,744
2019,6,694
2019,7,727
2019,8,665
2019,9,646
2019,10,540
2019,11,696
2019,12,672
2020,1,250
