Year,Month,good,moderate
2016,5,559.0,1.0
2016,6,623.0,5.0
2016,7,735.0,9.0
2016,8,725.0,15.0
2016,9,720.0,0.0
2016,10,741.0,3.0
2016,11,720.0,0.0
2016,12,742.0,2.0
2017,1,733.0,3.0
2017,2,670.0,0.0
2017,3,744.0,0.0
2017,4,567.0,0.0
2017,5,659.0,0.0
2017,6,720.0,0.0
2017,7,742.0,0.0
2017,8,744.0,0.0
2017,9,720.0,0.0
2017,10,727.0,0.0
2017,11,720.0,0.0
2017,12,729.0,0.0
2018,1,744.0,0.0
2018,2,672.0,0.0
2018,3,738.0,4.0
2018,4,720.0,0.0
2018,5,688.0,0.0
2018,6,573.0,0.0
2018,7,744.0,0.0
2018,8,744.0,0.0
2018,9,720.0,0.0
2018,10,741.0,3.0
2018,11,720.0,0.0
2018,12,743.0,0.0
2019,1,744.0,0.0
2019,2,669.0,0.0
2019,3,741.0,3.0
2019,4,679.0,0.0
2019,5,744.0,0.0
2019,6,712.0,0.0
2019,7,740.0,0.0
2019,8,688.0,0.0
2019,9,710.0,0.0
2019,10,742.0,0.0
2019,11,699.0,0.0
2019,12,690.0,0.0
2020,1,159.0,0.0
