Year,Month,good,moderate
2016,5,595.0,9.0
2016,6,632.0,62.0
2016,7,722.0,10.0
2016,8,692.0,13.0
2016,9,700.0,7.0
2016,10,694.0,43.0
2016,11,694.0,0.0
2016,12,738.0,0.0
2017,1,715.0,0.0
2017,2,663.0,0.0
2017,3,744.0,0.0
2017,4,702.0,0.0
2017,5,732.0,6.0
2017,6,644.0,63.0
2017,7,500.0,217.0
2017,8,670.0,56.0
2017,9,704.0,3.0
2017,10,726.0,0.0
2017,11,701.0,0.0
2017,12,682.0,19.0
2018,1,737.0,0.0
2018,2,565.0,0.0
2018,3,729.0,0.0
2018,4,664.0,0.0
2018,5,732.0,0.0
2018,6,720.0,0.0
2018,7,744.0,0.0
2018,8,730.0,0.0
2018,9,709.0,5.0
2018,10,726.0,0.0
2018,11,701.0,0.0
2018,12,692.0,0.0
2019,1,729.0,0.0
2019,2,476.0,0.0
2019,3,709.0,11.0
2019,4,607.0,11.0
2019,5,744.0,0.0
2019,6,685.0,3.0
2019,7,720.0,7.0
2019,8,607.0,14.0
2019,9,650.0,10.0
2019,10,708.0,12.0
2019,11,702.0,0.0
2019,12,672.0,0.0
2020,1,256.0,0.0
