Year,Month,good,moderate
2016,5,26.0,0.0
2016,6,29.0,1.0
2016,7,31.0,0.0
2016,8,31.0,0.0
2016,9,30.0,0.0
2016,10,31.0,0.0
2016,11,30.0,0.0
2016,12,30.0,1.0
2017,1,30.0,1.0
2017,2,28.0,0.0
2017,3,31.0,0.0
2017,4,27.0,3.0
2017,5,31.0,0.0
2017,6,30.0,0.0
2017,7,27.0,4.0
2017,8,29.0,2.0
2017,9,30.0,0.0
2017,10,30.0,1.0
2017,11,30.0,0.0
2017,12,30.0,1.0
2018,1,28.0,3.0
2018,2,25.0,3.0
2018,3,29.0,2.0
2018,4,30.0,0.0
2018,5,31.0,0.0
2018,6,30.0,0.0
2018,7,31.0,0.0
2018,8,31.0,0.0
2018,9,30.0,0.0
2018,10,30.0,1.0
2018,11,30.0,0.0
2018,12,31.0,0.0
2019,1,31.0,0.0
2019,2,19.0,9.0
2019,3,30.0,1.0
2019,4,29.0,1.0
2019,5,29.0,2.0
2019,6,22.0,7.0
2019,7,31.0,0.0
2019,8,31.0,0.0
2019,9,30.0,0.0
2019,10,31.0,0.0
2019,11,29.0,1.0
2019,12,27.0,1.0
2020,1,12.0,0.0
