Year,Month,good,moderate
2011,1,67.0,0.0
2011,2,91.0,0.0
2011,3,91.0,0.0
2011,4,62.0,0.0
2011,5,91.0,0.0
2011,6,85.0,0.0
2011,7,67.0,0.0
2011,8,62.0,0.0
2011,9,452.0,13.0
2011,10,485.0,0.0
2011,11,337.0,0.0
2011,12,533.0,0.0
2012,1,674.0,0.0
2012,2,686.0,0.0
2012,3,731.0,0.0
2012,4,701.0,0.0
2012,5,744.0,0.0
2012,6,673.0,0.0
2012,7,690.0,0.0
2012,8,691.0,0.0
2012,9,646.0,0.0
2012,10,655.0,0.0
2012,11,662.0,0.0
2012,12,695.0,0.0
2013,1,709.0,0.0
2013,2,591.0,0.0
2013,3,724.0,0.0
2013,4,714.0,0.0
2013,5,731.0,0.0
2013,6,714.0,0.0
2013,7,732.0,0.0
2013,8,681.0,0.0
2013,9,692.0,0.0
2013,10,679.0,0.0
2013,11,681.0,0.0
2013,12,709.0,0.0
2014,1,670.0,0.0
2014,2,589.0,0.0
2014,3,667.0,0.0
2014,4,641.0,0.0
2014,5,703.0,0.0
2014,6,659.0,0.0
2014,7,664.0,0.0
2014,8,575.0,0.0
2014,9,492.0,0.0
2014,10,610.0,0.0
2014,11,596.0,0.0
2014,12,643.0,0.0
2015,1,621.0,0.0
2015,2,543.0,0.0
2015,3,709.0,0.0
2015,4,688.0,0.0
2015,5,705.0,0.0
2015,6,675.0,0.0
2015,7,700.0,0.0
2015,8,718.0,0.0
2015,9,645.0,0.0
2015,10,700.0,0.0
2015,11,589.0,0.0
2015,12,664.0,0.0
