,AV ACM - DETRAN [$PM_{10}$ (µg/m3)],AV BARROS REIS [$PM_{10}$ (µg/m3)],BOTELHO [$PM_{10}$ (µg/m3)],CAMPO GRANDE [$PM_{10}$ (µg/m3)],DIQUE DO TORORÓ [$PM_{10}$ (µg/m3)],GAMBOA [$PM_{10}$ (µg/m3)],ITAIGARA [$PM_{10}$ (µg/m3)],MALEMBÁ [$PM_{10}$ (µg/m3)],PARALELA-CAB [$PM_{10}$ (µg/m3)],PIRAJÁ [$PM_{10}$ (µg/m3)],RIO VERMELHO [$PM_{10}$ (µg/m3)]
2011,,,,21.49970902036855,25.49754725472548,,,,25.840097075884884,30.093577981651332,29.792537313432852
2012,,,,18.089187913125514,31.117732124411702,,,,25.742280453257823,28.796169820027668,30.334250243427427
2013,20.44340865074249,48.04900432900432,,23.654546649145814,22.475456511292663,,27.89905247813412,,21.813153412812767,30.457059869591102,29.484837545126304
2014,22.309305312317527,44.015042913477224,,20.94650306748474,18.733246495472063,,19.546135693215316,,25.08015473887813,23.92504467704885,29.8423778543181
2015,24.243606330137393,44.77488441978726,,20.933818054909352,19.414345018450124,,16.030319410319347,,18.82359054299808,19.814650205761378,24.21167395529642
2016,,,16.658352553541985,,,,,15.826652638961932,,,
2017,,,13.732389226759329,,,,,18.365676217427296,,,
2018,,,13.641361916771563,,,12.238133547867836,,21.075227770730116,,,
2019,,,12.380571589469872,,,8.148759718623214,,19.033400784115287,,,
2020,,,13.013065326633182,,,6.968954248366001,,17.223786407766994,,,
