,PM10 (µg/m³),SO2 (ppb),NO2 (ppb),O3 (ppb),CO (ppm),CO (ppb),SO2 (µg/m³),NO2 (µg/m³),O3 (µg/m³)
15/04/2016 12:00:00,21.3,0.2,13.1,17.3,0.1,,,,
16/04/2016 12:00:00,17.4,0.1,9.4,13.3,0.2,,,,
17/04/2016 12:00:00,9.0,0.3,7.9,14.9,0.5,,,,
18/04/2016 12:00:00,12.8,0.1,6.9,16.0,0.8,,,,
19/04/2016 12:00:00,16.5,0.2,61.0,13.7,0.5,,,,
20/04/2016 12:00:00,21.1,0.2,37.3,24.0,0.4,,,,
21/04/2016 12:00:00,21.9,0.9,24.6,16.0,1.0,,,,
22/04/2016 12:00:00,17.7,0.2,8.2,18.5,0.5,,,,
23/04/2016 12:00:00,18.3,0.3,20.7,26.7,0.9,,,,
24/04/2016 12:00:00,16.7,0.1,17.6,19.7,0.6,,,,
25/04/2016 12:00:00,9.5,0.1,15.6,20.8,0.2,,,,
26/04/2016 12:00:00,17.9,2.2,16.7,35.2,0.4,,,,
27/04/2016 12:00:00,20.9,6.9,10.5,42.1,0.5,,,,
28/04/2016 12:00:00,19.8,0.6,9.7,48.1,0.7,,,,
29/04/2016 12:00:00,16.3,0.0,12.9,24.3,0.4,,,,
30/04/2016 12:00:00,17.7,0.7,11.2,24.7,0.4,,,,
01/08/2016 12:00:00,16.8,0.0,3.6,36.0,0.1,,,,
02/08/2016 12:00:00,9.1,0.0,5.4,21.4,0.3,,,,
03/08/2016 12:00:00,14.0,0.1,7.3,22.4,0.2,,,,
04/08/2016 12:00:00,12.5,0.1,,23.6,0.0,,,,
05/08/2016 12:00:00,7.9,0.1,,22.1,0.3,,,,
06/08/2016 12:00:00,14.1,0.3,8.5,19.3,0.2,,,,
07/08/2016 12:00:00,13.3,0.1,11.7,18.6,0.3,,,,
08/08/2016 12:00:00,10.6,1.0,6.9,22.0,0.3,,,,
09/08/2016 12:00:00,12.7,0.9,16.7,31.2,0.4,,,,
10/08/2016 12:00:00,14.2,0.2,7.5,35.0,0.4,,,,
11/08/2016 12:00:00,15.2,5.6,25.7,31.7,0.2,,,,
12/08/2016 12:00:00,14.2,3.2,14.4,34.6,0.4,,,,
13/08/2016 12:00:00,12.9,0.5,11.7,34.8,0.3,,,,
14/08/2016 12:00:00,13.7,3.6,8.6,35.3,0.2,,,,
15/08/2016 12:00:00,14.7,2.3,12.4,39.1,0.6,,,,
16/08/2016 12:00:00,14.8,1.0,18.5,42.6,0.6,,,,
17/08/2016 12:00:00,12.2,0.2,11.2,33.9,0.6,,,,
18/08/2016 12:00:00,22.0,0.3,14.7,36.7,0.3,,,,
19/08/2016 12:00:00,22.6,0.6,13.7,34.1,0.8,,,,
20/08/2016 12:00:00,7.4,0.2,8.3,25.1,0.6,,,,
21/08/2016 12:00:00,13.4,0.6,14.7,54.5,0.2,,,,
22/08/2016 12:00:00,28.8,0.4,11.7,57.7,0.5,,,,
23/08/2016 12:00:00,14.9,0.2,10.1,37.4,0.3,,,,
24/08/2016 12:00:00,11.2,0.2,15.3,28.8,0.4,,,,
25/08/2016 12:00:00,9.9,0.0,8.9,25.6,0.2,,,,
26/08/2016 12:00:00,13.4,0.0,8.7,24.3,0.1,,,,
27/08/2016 12:00:00,9.5,1.0,10.6,21.0,0.2,,,,
28/08/2016 12:00:00,10.4,0.9,12.6,21.5,0.0,,,,
29/08/2016 12:00:00,9.4,0.3,9.7,21.1,0.1,,,,
30/08/2016 12:00:00,8.3,0.7,9.8,29.7,0.3,,,,
31/08/2016 12:00:00,20.1,0.7,19.4,29.7,0.3,,,,
01/12/2016 12:00:00,20.4,1.7,5.5,36.4,0.5,,,,
02/12/2016 12:00:00,13.6,0.0,5.0,24.5,0.5,,,,
03/12/2016 12:00:00,12.8,0.6,8.5,14.9,0.4,,,,
04/12/2016 12:00:00,15.4,0.9,10.4,16.3,0.1,,,,
05/12/2016 12:00:00,16.0,12.2,4.0,23.9,0.1,,,,
06/12/2016 12:00:00,22.2,0.4,5.2,27.6,0.3,,,,
07/12/2016 12:00:00,23.1,0.9,12.3,32.0,0.3,,,,
08/12/2016 12:00:00,27.2,1.3,10.0,37.8,0.4,,,,
09/12/2016 12:00:00,39.2,3.9,3.3,33.8,0.1,,,,
10/12/2016 12:00:00,17.7,1.9,,32.6,0.2,,,,
11/12/2016 12:00:00,24.7,11.0,,47.1,0.3,,,,
12/12/2016 12:00:00,24.2,8.4,,36.5,0.4,,,,
13/12/2016 12:00:00,,3.2,,40.0,0.6,,,,
14/12/2016 12:00:00,25.5,2.1,16.8,25.7,0.1,,,,
15/12/2016 12:00:00,20.3,0.4,6.7,24.8,0.4,,,,
16/12/2016 12:00:00,18.3,2.6,10.1,24.5,0.2,,,,
17/12/2016 12:00:00,16.7,0.1,5.5,23.1,0.3,,,,
18/12/2016 12:00:00,14.0,0.5,7.5,19.0,0.3,,,,
19/12/2016 12:00:00,19.7,1.3,12.2,17.7,0.5,,,,
20/12/2016 12:00:00,13.1,0.4,6.1,14.4,0.1,,,,
21/12/2016 12:00:00,19.2,0.3,9.5,13.0,0.3,,,,
22/12/2016 12:00:00,19.9,0.7,9.7,16.0,0.3,,,,
23/12/2016 12:00:00,16.3,0.7,10.3,13.4,0.2,,,,
24/12/2016 12:00:00,11.5,0.2,7.6,21.3,0.1,,,,
25/12/2016 12:00:00,15.5,0.1,6.9,17.8,0.1,,,,
26/12/2016 12:00:00,19.8,2.4,6.1,36.4,0.2,,,,
27/12/2016 12:00:00,30.1,2.7,7.8,38.1,0.3,,,,
28/12/2016 12:00:00,21.3,0.8,14.8,15.3,0.3,,,,
29/12/2016 12:00:00,26.1,0.4,9.7,14.9,0.2,,,,
30/12/2016 12:00:00,21.5,0.0,8.6,23.8,0.3,,,,
31/12/2016 12:00:00,18.5,0.6,14.4,18.1,0.1,,,,
01/07/2016 12:00:00,14.6,0.2,4.6,25.0,0.8,,,,
02/07/2016 12:00:00,12.2,0.1,5.2,22.1,0.2,,,,
03/07/2016 12:00:00,16.5,0.1,1.6,20.1,0.3,,,,
04/07/2016 12:00:00,15.6,0.0,4.4,16.4,0.3,,,,
05/07/2016 12:00:00,12.9,0.1,2.6,19.1,0.2,,,,
06/07/2016 12:00:00,12.9,0.5,3.9,18.6,0.3,,,,
07/07/2016 12:00:00,11.1,0.1,2.3,16.0,0.2,,,,
08/07/2016 12:00:00,17.3,0.0,3.3,21.9,0.3,,,,
09/07/2016 12:00:00,14.6,0.0,3.1,37.6,0.4,,,,
10/07/2016 12:00:00,11.0,0.0,1.7,24.6,0.2,,,,
11/07/2016 12:00:00,14.9,0.0,2.4,24.8,0.2,,,,
12/07/2016 12:00:00,15.7,0.1,5.2,35.1,0.3,,,,
13/07/2016 12:00:00,14.1,0.0,2.9,35.7,0.5,,,,
14/07/2016 12:00:00,17.3,,7.0,36.0,0.4,,,,
15/07/2016 12:00:00,16.0,,7.8,29.2,0.1,,,,
16/07/2016 12:00:00,12.6,0.1,7.3,29.3,0.1,,,,
17/07/2016 12:00:00,15.6,5.1,13.6,28.8,0.3,,,,
18/07/2016 12:00:00,17.0,12.6,18.1,30.9,0.1,,,,
19/07/2016 12:00:00,17.5,0.8,14.8,46.6,0.3,,,,
20/07/2016 12:00:00,12.9,0.3,6.7,34.0,0.2,,,,
21/07/2016 12:00:00,14.7,0.5,10.1,22.7,0.3,,,,
22/07/2016 12:00:00,16.7,1.0,17.9,35.7,0.1,,,,
23/07/2016 12:00:00,15.4,0.0,6.2,33.7,0.2,,,,
24/07/2016 12:00:00,14.5,0.3,8.5,21.8,0.3,,,,
25/07/2016 12:00:00,15.6,0.1,8.3,23.9,0.4,,,,
26/07/2016 12:00:00,11.4,0.2,7.3,22.2,0.3,,,,
27/07/2016 12:00:00,12.9,0.1,9.1,24.7,0.3,,,,
28/07/2016 12:00:00,15.4,0.0,4.4,23.4,0.4,,,,
29/07/2016 12:00:00,9.3,0.1,3.6,24.2,0.1,,,,
30/07/2016 12:00:00,9.5,0.0,5.9,23.2,0.2,,,,
31/07/2016 12:00:00,15.8,0.0,1.1,26.8,0.2,,,,
01/06/2016 12:00:00,17.7,0.0,2.6,15.3,0.2,,,,
