,PM10 (µg/m³),SO2 (ppb),NO2 (ppb),O3 (ppb),SO2 (µg/m³),NO2 (µg/m³),O3 (µg/m³)
01/12/2018 12:00:00,12.3,1.5,13.9,24.1,,,
02/12/2018 12:00:00,37.1,1.7,12.5,37.0,,,
03/12/2018 12:00:00,13.8,1.6,11.1,36.4,,,
04/12/2018 12:00:00,12.3,0.9,15.3,39.5,,,
05/12/2018 12:00:00,16.7,1.2,21.3,34.9,,,
06/12/2018 12:00:00,13.2,1.4,20.3,30.2,,,
07/12/2018 12:00:00,16.6,1.7,14.3,35.3,,,
08/12/2018 12:00:00,12.6,1.8,12.7,51.7,,,
09/12/2018 12:00:00,10.2,1.5,7.5,45.3,,,
10/12/2018 12:00:00,10.6,1.4,7.7,27.0,,,
14/12/2018 12:00:00,11.3,1.7,3.9,20.5,,,
15/12/2018 12:00:00,7.8,2.2,5.4,20.3,,,
16/12/2018 12:00:00,6.6,1.5,3.8,29.7,,,
17/12/2018 12:00:00,16.8,2.0,3.8,29.3,,,
18/12/2018 12:00:00,11.0,1.8,4.4,39.0,,,
19/12/2018 12:00:00,11.4,1.8,7.4,25.0,,,
20/12/2018 12:00:00,9.2,1.5,5.6,29.5,,,
27/12/2018 12:00:00,,2.7,11.3,52.6,,,
28/12/2018 12:00:00,,4.0,7.2,60.4,,,
02/11/2018 12:00:00,20.3,1.8,10.7,54.8,,,
03/11/2018 12:00:00,14.3,1.5,3.6,49.9,,,
08/11/2018 12:00:00,7.0,0.9,4.0,25.4,,,
10/11/2018 12:00:00,11.4,1.4,1.9,28.2,,,
12/11/2018 12:00:00,14.0,2.0,13.6,43.3,,,
14/11/2018 12:00:00,9.5,1.2,,22.9,,,
17/11/2018 12:00:00,23.0,1.4,5.3,28.8,,,
21/11/2018 12:00:00,19.1,1.6,6.8,22.2,,,
25/11/2018 12:00:00,9.7,1.4,2.5,24.2,,,
12/10/2018 12:00:00,15.6,1.1,4.9,37.9,,,
