,PM10 (µg/m³),SO2 (ppb),NO2 (ppb),O3 (ppb),CO (ppm),CO (ppb),SO2 (µg/m³),NO2 (µg/m³),O3 (µg/m³)
01/08/2016 12:00:00,15.0,0.1,16.5,29.3,0.3,,,,
02/08/2016 12:00:00,9.1,8.3,28.1,26.1,0.3,,,,
03/08/2016 12:00:00,31.7,12.1,28.4,25.9,0.3,,,,
04/08/2016 12:00:00,10.8,0.6,25.4,28.4,0.5,,,,
05/08/2016 12:00:00,7.5,1.6,21.4,27.3,0.4,,,,
06/08/2016 12:00:00,8.6,3.5,43.0,23.9,0.4,,,,
07/08/2016 12:00:00,9.7,1.2,24.0,21.8,0.5,,,,
08/08/2016 12:00:00,6.4,6.3,20.7,26.2,0.3,,,,
09/08/2016 12:00:00,13.5,1.3,27.6,36.0,0.6,,,,
10/08/2016 12:00:00,14.6,0.6,46.8,42.7,0.5,,,,
11/08/2016 12:00:00,16.9,4.0,21.8,50.4,0.4,,,,
12/08/2016 12:00:00,27.3,20.1,64.6,41.2,0.5,,,,
13/08/2016 12:00:00,17.1,1.4,39.4,41.8,0.6,,,,
14/08/2016 12:00:00,13.7,7.9,18.0,39.8,0.5,,,,
15/08/2016 12:00:00,15.6,15.2,19.8,42.8,0.6,,,,
16/08/2016 12:00:00,19.5,0.5,25.9,45.3,0.5,,,,
17/08/2016 12:00:00,17.9,0.0,19.2,42.8,0.3,,,,
18/08/2016 12:00:00,25.0,0.3,23.2,38.9,0.4,,,,
19/08/2016 12:00:00,23.6,0.8,31.6,34.4,0.5,,,,
20/08/2016 12:00:00,12.9,1.1,22.6,32.0,0.4,,,,
21/08/2016 12:00:00,20.0,0.1,29.5,31.9,0.5,,,,
22/08/2016 12:00:00,13.2,0.6,27.8,58.5,0.4,,,,
23/08/2016 12:00:00,13.6,0.6,36.7,44.1,0.4,,,,
24/08/2016 12:00:00,11.2,0.3,17.8,28.8,0.5,,,,
25/08/2016 12:00:00,5.7,0.0,13.9,30.6,0.4,,,,
26/08/2016 12:00:00,10.2,0.5,24.3,29.5,0.5,,,,
27/08/2016 12:00:00,4.6,0.1,14.4,24.9,0.4,,,,
28/08/2016 12:00:00,12.6,0.2,10.8,24.6,0.5,,,,
29/08/2016 12:00:00,7.7,2.1,13.9,26.3,0.5,,,,
30/08/2016 12:00:00,8.2,0.9,27.8,53.4,0.3,,,,
31/08/2016 12:00:00,12.9,0.2,26.7,32.9,0.4,,,,
01/12/2016 12:00:00,22.1,1.8,20.7,37.3,0.2,,,,
02/12/2016 12:00:00,16.2,0.1,5.4,29.8,0.2,,,,
03/12/2016 12:00:00,9.1,0.1,25.4,20.3,0.4,,,,
04/12/2016 12:00:00,12.4,0.5,8.2,18.8,0.2,,,,
05/12/2016 12:00:00,14.4,0.3,8.1,25.5,0.2,,,,
06/12/2016 12:00:00,22.3,0.9,14.8,32.1,0.2,,,,
07/12/2016 12:00:00,28.4,1.6,13.2,36.5,0.2,,,,
08/12/2016 12:00:00,27.8,1.6,23.7,30.5,0.2,,,,
09/12/2016 12:00:00,26.0,3.9,9.7,34.9,0.2,,,,
10/12/2016 12:00:00,29.7,4.9,22.9,31.1,0.2,,,,
11/12/2016 12:00:00,20.1,2.5,14.0,42.9,0.2,,,,
12/12/2016 12:00:00,31.0,1.4,22.8,52.9,0.2,,,,
13/12/2016 12:00:00,28.7,0.3,23.2,40.2,0.2,,,,
14/12/2016 12:00:00,36.6,6.1,14.1,24.5,0.3,,,,
15/12/2016 12:00:00,47.5,9.2,45.4,31.6,0.4,,,,
16/12/2016 12:00:00,33.8,0.3,11.3,42.3,0.3,,,,
17/12/2016 12:00:00,14.8,0.0,11.4,24.4,0.4,,,,
18/12/2016 12:00:00,8.7,0.0,15.5,22.0,0.4,,,,
19/12/2016 12:00:00,12.8,0.1,20.9,23.7,0.4,,,,
20/12/2016 12:00:00,9.8,0.1,12.7,19.1,,,,,
21/12/2016 12:00:00,13.0,0.0,23.6,19.6,0.6,,,,
22/12/2016 12:00:00,10.6,0.0,9.9,17.0,0.5,,,,
23/12/2016 12:00:00,17.0,0.2,10.4,18.2,0.5,,,,
24/12/2016 12:00:00,7.2,0.0,5.7,22.4,0.5,,,,
25/12/2016 12:00:00,6.2,0.1,8.2,31.8,0.5,,,,
26/12/2016 12:00:00,8.6,5.7,12.2,34.2,0.5,,,,
27/12/2016 12:00:00,14.7,12.5,11.9,40.2,0.5,,,,
28/12/2016 12:00:00,18.9,0.1,13.6,19.9,0.5,,,,
29/12/2016 12:00:00,26.1,0.1,8.6,22.4,,,,,
30/12/2016 12:00:00,17.4,0.8,16.6,23.9,,,,,
31/12/2016 12:00:00,15.2,1.1,15.8,24.7,,,,,
01/07/2016 12:00:00,11.6,0.1,17.1,31.1,0.1,,,,
02/07/2016 12:00:00,10.3,0.5,25.8,31.4,0.2,,,,
03/07/2016 12:00:00,15.0,0.1,21.9,30.1,0.3,,,,
04/07/2016 12:00:00,12.5,0.0,20.6,27.8,0.2,,,,
05/07/2016 12:00:00,12.8,0.0,23.8,30.1,0.2,,,,
06/07/2016 12:00:00,21.0,0.9,21.5,33.1,0.2,,,,
07/07/2016 12:00:00,9.6,0.6,34.9,29.9,0.2,,,,
08/07/2016 12:00:00,14.0,0.2,24.0,49.5,0.3,,,,
09/07/2016 12:00:00,17.1,1.8,36.5,66.1,0.2,,,,
10/07/2016 12:00:00,6.9,0.6,10.8,35.1,0.1,,,,
11/07/2016 12:00:00,13.0,0.7,15.2,35.7,0.3,,,,
12/07/2016 12:00:00,15.8,0.2,21.8,27.9,,,,,
13/07/2016 12:00:00,13.7,0.7,23.1,39.5,0.2,,,,
14/07/2016 12:00:00,12.0,0.0,35.1,48.8,0.2,,,,
15/07/2016 12:00:00,12.5,4.6,19.3,39.9,0.1,,,,
16/07/2016 12:00:00,14.4,16.8,22.6,34.3,0.2,,,,
17/07/2016 12:00:00,13.2,11.4,50.8,31.2,0.1,,,,
18/07/2016 12:00:00,16.9,2.4,17.9,40.2,0.2,,,,
19/07/2016 12:00:00,16.5,0.9,29.3,52.0,,,,,
20/07/2016 12:00:00,14.0,0.4,26.0,29.6,,,,,
21/07/2016 12:00:00,17.1,0.3,34.8,42.6,,,,,
22/07/2016 12:00:00,13.8,13.8,25.1,42.7,0.2,,,,
23/07/2016 12:00:00,13.0,0.1,28.7,43.2,0.3,,,,
24/07/2016 12:00:00,10.3,0.0,21.8,25.0,0.2,,,,
25/07/2016 12:00:00,11.9,0.0,25.8,27.8,0.2,,,,
26/07/2016 12:00:00,9.9,4.2,21.8,27.4,0.2,,,,
27/07/2016 12:00:00,11.2,0.1,21.1,29.6,0.2,,,,
28/07/2016 12:00:00,12.0,0.0,27.8,29.3,0.2,,,,
29/07/2016 12:00:00,10.0,0.2,16.2,29.0,0.2,,,,
30/07/2016 12:00:00,8.7,0.0,19.7,27.5,0.2,,,,
31/07/2016 12:00:00,11.6,0.0,14.5,28.8,0.2,,,,
01/06/2016 12:00:00,11.4,0.3,19.8,36.5,0.2,,,,
02/06/2016 12:00:00,10.8,2.3,23.2,51.9,0.2,,,,
