--------------------
BDMEP - INMET
--------------------
Estação           : SALVADOR  ONDINA  - BA (OMM: 83229)
Latitude  (graus) : -13.01
Longitude (graus) : -38.53
Altitude  (metros): 51.41
Estação Operante
Inicio de operação: 01/01/1903
Periodo solicitado dos dados: 01/01/2008 a 31/12/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83229;31/01/2008;0000;14;1.540165;4.1;115.3;155.03528;17.8;255.6;3.586022;8;17.8;1012.83871;;31.883871;26.856129;22.719355;77.16129;;
83229;29/02/2008;0000;5;1.452874;4.1;89;147.27722;147.27722;230;4.051724;11;183.8;1012.89186;;32.103448;27.224828;23.089655;80.112069;;
83229;31/03/2008;0000;14;1.496774;3.3;73.7;145.787873;145.787873;207.3;5.043011;15;149.3;;;30.967742;26.822581;22.916129;84.677419;;
83229;30/04/2008;0000;14;1.395086;2.8;61.8;131.663908;131.663908;201.9;3.666667;17;154.3;;;29.98;26.506;22.67;83.733333;;
83229;31/05/2008;0000;14;1.849462;6;77.1;112.181029;112.181029;149;5.591398;15;203.6;;;28.109677;25.191613;21.874194;83.887097;;
83229;30/06/2008;0000;14;1.768889;4.1;65.6;89.854948;89.854948;159.3;5.680556;22;178.2;;;27.34;23.939333;20.393333;84.658333;;
83229;31/07/2008;0000;18;1.994934;5;81.8;83.463574;83.463574;162.6;5.647849;24;149.1;;;26.235484;23.129032;19.241935;81.217742;;
83229;31/08/2008;0000;14;1.590323;3.3;70.6;89.146347;84.948103;196;4.650538;16;58.7;;;26.945161;23.349032;19.53871;83.040323;;
83229;30/09/2008;0000;5;1.733345;3.5;76.9;103.595011;73.354911;174.4;5.002778;12;37.8;;;28.313333;24.482667;20.59;78.933333;;
83229;31/10/2008;0000;9;1.657311;3.3;92.1;127.581715;55.254322;246;3.663978;13;31.7;;;30.180645;25.661935;21.309677;77.677419;;
