Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Development of a Numerical Prediction Model System for the Assessment of the Air Quality in Budapest","Air Pollution Modeling and its Application XXIII","","","","10.1007/978-3-319-04379-1_65","Zita FerencziKrisztina LabanczRoland Steib","2014","http://link.springer.com/chapter/10.1007/978-3-319-04379-1_65","Chapter"
"Megacities: Urban Environment, Air Pollution, Climate Change and Human Health Interactions","National Security and Human Health Implications of Climate Change","","","","10.1007/978-94-007-2430-3_10","Alexander Baklanov","2012","http://link.springer.com/chapter/10.1007/978-94-007-2430-3_10","Chapter"
"Current and future climate- and air pollution-mediated impacts on human health","Environmental Health","","8","1","10.1186/1476-069X-8-S1-S8","Ruth M DohertyMathew R HealPaul WilkinsonSam PattendenMassimo VienoBen ArmstrongRichard AtkinsonZaid ChalabiSari KovatsAi MilojevicDavid S Stevenson","2009","http://link.springer.com/article/10.1186/1476-069X-8-S1-S8","Article"
"Healthy Living: The European Congress of Epidemiology, 2015","European Journal of Epidemiology","","30","8","10.1007/s10654-015-0072-z","Esther BolsLuc SmitsMatty Weijenberg","2015","http://link.springer.com/article/10.1007/s10654-015-0072-z","Article"
"Development and Evaluation of Data Mining Models for Air Quality Prediction in Athens, Greece","Information Technologies in Environmental Engineering","","","","10.1007/978-3-540-88351-7_25","Marina RigaFani A. TzimaKostas KaratzasPericles A. Mitkas","2009","http://link.springer.com/chapter/10.1007/978-3-540-88351-7_25","Chapter"
"A History of Air Quality Management","Air Quality Management","","","","10.1007/978-94-007-7557-2_2","Ann McMillanG. Foley","2014","http://link.springer.com/chapter/10.1007/978-94-007-7557-2_2","Chapter"
"Reducing NO2 Pollution over Urban Areas: Air Quality Modelling as a Fundamental Management Tool","Water, Air, & Soil Pollution","","223","8","10.1007/s11270-012-1281-7","C. BorregoA. MonteiroE. SáA. CarvalhoD. CoelhoD. DiasA. I. Miranda","2012","http://link.springer.com/article/10.1007/s11270-012-1281-7","Article"
"Regional and intercontinental modelling","Air Pollution Modeling and its Application XX","","","","10.1007/978-90-481-3812-8_2","W. GongP. BuiltjesE. BatchvarovaJ. GodowitchB. TiminP. Siljamo","2010","http://link.springer.com/chapter/10.1007/978-90-481-3812-8_2","Chapter"
"Context- and Situation Prediction for the MyAQI Urban Air Quality Monitoring System","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-030-30859-9_7","Daniel SchürholzArkady ZaslavskySylvain Kubler","2019","http://link.springer.com/chapter/10.1007/978-3-030-30859-9_7","Chapter"
"Health Effects of Climate Change Through Temperature and Air Pollution","Current Pollution Reports","","5","3","10.1007/s40726-019-00112-9","Jianing LouYangyang WuPenghui LiuSri Harsha KotaLei Huang","2019","http://link.springer.com/article/10.1007/s40726-019-00112-9","Article"
"A review of AirQ Models and their applications for forecasting the air pollution health outcomes","Environmental Science and Pollution Research","","24","7","10.1007/s11356-016-8180-1","Gea Oliveri ContiBehzad HeibatiItai KloogMaria FioreMargherita Ferrante","2017","http://link.springer.com/article/10.1007/s11356-016-8180-1","Article"
"Time Series Analysis of Air Pollution in Bengaluru Using ARIMA Model","Ambient Communications and Computer Systems","","","","10.1007/978-981-10-7386-1_36","M. S. K. AbhilashAmrita ThakurDeepa GuptaB. Sreevidya","2018","http://link.springer.com/chapter/10.1007/978-981-10-7386-1_36","Chapter"
"Transformational characteristics of ground-level ozone during high particulate events in urban area of Malaysia","Air Quality, Atmosphere & Health","","11","6","10.1007/s11869-018-0578-0","Norrimi Rosaida AwangNor Azam RamliSyabiha ShithNazatul Syadia ZainordinHemamalini Manogaran","2018","http://link.springer.com/article/10.1007/s11869-018-0578-0","Article"
"Air Pollution in the Hindu Kush Himalaya","The Hindu Kush Himalaya Assessment","","","","10.1007/978-3-319-92288-1_10","Eri SaikawaArnico PandayShichang KangRitesh GautamEric ZusmanZhiyuan CongE. SomanathanBhupesh Adhikary","2019","http://link.springer.com/chapter/10.1007/978-3-319-92288-1_10","Chapter"
"LaSVM-based big data learning system for dynamic prediction of air pollution in Tehran","Environmental Monitoring and Assessment","","190","5","10.1007/s10661-018-6659-6","Z. GhaemiA. AlimohammadiM. Farnaghi","2018","http://link.springer.com/article/10.1007/s10661-018-6659-6","Article"
"An implementation of cloud-based platform with R packages for spatiotemporal analysis of air pollution","The Journal of Supercomputing","","","","10.1007/s11227-017-2189-1","Chao-Tung YangYu-Wei ChanJung-Chun LiuBen-Shen Lou","2017","http://link.springer.com/article/10.1007/s11227-017-2189-1","Article"
"Differences in Benzene Patterns Among Traffic and Industrial Areas and a Prediction Model for Benzene Rates Based on NO
                x
               Values","Water, Air, & Soil Pollution","","226","5","10.1007/s11270-015-2406-6","Shlomit PazPavel GoldsteinLevana Kordova-BiezunerLea Adler","2015","http://link.springer.com/article/10.1007/s11270-015-2406-6","Article"
