Year,Month,good,moderate
2013,1,26.0,0.0
2013,2,26.0,0.0
2013,3,25.0,1.0
2013,4,24.0,2.0
2013,5,26.0,0.0
2013,6,25.0,1.0
2013,7,26.0,0.0
2013,8,38.0,0.0
2013,9,48.0,2.0
2013,10,50.0,0.0
2013,11,389.0,2.0
2013,12,487.0,4.0
2014,1,662.0,3.0
2014,2,649.0,1.0
2014,3,721.0,1.0
2014,4,697.0,1.0
2014,5,710.0,3.0
2014,6,681.0,0.0
2014,7,736.0,8.0
2014,8,743.0,1.0
2014,9,703.0,17.0
2014,10,737.0,7.0
2014,11,699.0,21.0
2014,12,736.0,8.0
2015,1,738.0,6.0
2015,2,659.0,13.0
2015,3,739.0,5.0
2015,4,700.0,20.0
2015,5,728.0,11.0
2015,6,697.0,23.0
2015,7,701.0,42.0
2015,8,719.0,24.0
2015,9,615.0,12.0
2015,10,734.0,10.0
2015,11,693.0,25.0
2015,12,735.0,9.0
