Year,Month,good,moderate
2013,1,3.0,0.0
2013,2,3.0,0.0
2013,3,0.0,3.0
2013,4,0.0,3.0
2013,5,0.0,3.0
2013,6,0.0,3.0
2013,7,0.0,3.0
2013,8,3.0,1.0
2013,9,0.0,4.0
2013,10,0.0,4.0
2013,11,9.0,11.0
2013,12,4.0,19.0
2014,1,11.0,20.0
2014,2,14.0,14.0
2014,3,13.0,18.0
2014,4,16.0,14.0
2014,5,9.0,22.0
2014,6,15.0,15.0
2014,7,10.0,21.0
2014,8,16.0,15.0
2014,9,14.0,16.0
2014,10,10.0,21.0
2014,11,8.0,22.0
2014,12,15.0,16.0
2015,1,20.0,11.0
2015,2,15.0,13.0
2015,3,9.0,22.0
2015,4,7.0,23.0
2015,5,9.0,22.0
2015,6,10.0,20.0
2015,7,5.0,26.0
2015,8,9.0,22.0
2015,9,15.0,15.0
2015,10,12.0,19.0
2015,11,8.0,22.0
2015,12,23.0,8.0
