Year,Month,good,moderate
2013,1,3.0,0.0
2013,2,3.0,0.0
2013,3,3.0,0.0
2013,4,3.0,0.0
2013,5,3.0,0.0
2013,6,3.0,0.0
2013,7,3.0,0.0
2013,8,4.0,0.0
2013,9,4.0,0.0
2013,10,4.0,0.0
2013,11,20.0,0.0
2013,12,13.0,0.0
2014,1,30.0,0.0
2014,2,28.0,0.0
2014,3,31.0,0.0
2014,4,30.0,0.0
2014,5,31.0,0.0
2014,6,30.0,0.0
2014,7,30.0,1.0
2014,8,31.0,0.0
2014,9,30.0,0.0
2014,10,31.0,0.0
2014,11,30.0,0.0
2014,12,31.0,0.0
2015,1,31.0,0.0
2015,2,28.0,0.0
2015,3,31.0,0.0
2015,4,30.0,0.0
2015,5,31.0,0.0
2015,6,30.0,0.0
2015,7,31.0,0.0
2015,8,31.0,0.0
2015,9,30.0,0.0
2015,10,31.0,0.0
2015,11,30.0,0.0
2015,12,31.0,0.0
