Year,Month,good
2011,1,115
2011,2,115
2011,3,115
2011,4,115
2011,5,115
2011,6,115
2011,7,435
2011,8,565
2011,9,540
2011,10,557
2011,11,539
2011,12,574
2012,1,737
2012,2,563
2012,3,736
2012,4,706
2012,5,729
2012,6,711
2012,7,744
2012,8,728
2012,9,710
2012,10,729
2012,11,692
2012,12,744
2013,1,722
2013,2,610
2013,3,732
2013,4,712
2013,5,724
2013,6,720
2013,7,744
2013,8,731
2013,9,680
2013,10,715
2013,11,686
2013,12,732
2014,1,722
2014,2,630
2014,3,585
2014,4,694
2014,5,719
2014,6,695
2014,7,720
2014,8,726
2014,9,670
2014,10,675
2014,11,648
2014,12,716
2015,1,635
2015,2,583
2015,3,701
2015,4,682
2015,5,706
2015,6,683
2015,7,713
2015,8,699
2015,9,658
2015,10,695
2015,11,688
2015,12,731
