Year,Month,good,moderate
2011,1,7.0,0.0
2011,2,8.0,0.0
2011,3,8.0,0.0
2011,4,7.0,0.0
2011,5,7.0,0.0
2011,6,7.0,0.0
2011,7,24.0,0.0
2011,8,24.0,2.0
2011,9,25.0,0.0
2011,10,25.0,1.0
2011,11,25.0,0.0
2011,12,27.0,0.0
2012,1,31.0,0.0
2012,2,29.0,0.0
2012,3,31.0,0.0
2012,4,30.0,0.0
2012,5,31.0,0.0
2012,6,30.0,0.0
2012,7,31.0,0.0
2012,8,31.0,0.0
2012,9,30.0,0.0
2012,10,31.0,0.0
2012,11,30.0,0.0
2012,12,31.0,0.0
2013,1,31.0,0.0
2013,2,28.0,0.0
2013,3,30.0,1.0
2013,4,20.0,1.0
2013,5,30.0,1.0
2013,6,29.0,1.0
2013,7,30.0,1.0
2013,8,30.0,1.0
2013,9,28.0,0.0
2013,10,26.0,2.0
2013,11,26.0,4.0
2013,12,21.0,10.0
2014,1,29.0,2.0
2014,2,20.0,5.0
2014,3,30.0,0.0
2014,4,30.0,0.0
2014,5,31.0,0.0
2014,6,29.0,1.0
2014,7,31.0,0.0
2014,8,31.0,0.0
2014,9,30.0,0.0
2014,10,29.0,2.0
2014,11,29.0,1.0
2014,12,31.0,0.0
2015,1,30.0,1.0
2015,2,27.0,1.0
2015,3,31.0,0.0
2015,4,30.0,0.0
2015,5,31.0,0.0
2015,6,30.0,0.0
2015,7,31.0,0.0
2015,8,29.0,2.0
2015,9,26.0,4.0
2015,10,29.0,2.0
2015,11,29.0,1.0
2015,12,31.0,0.0
