Year,Month,good,moderate
2011,1,143.0,3.0
2011,2,144.0,2.0
2011,3,138.0,8.0
2011,4,139.0,7.0
2011,5,137.0,9.0
2011,6,362.0,10.0
2011,7,577.0,25.0
2011,8,534.0,68.0
2011,9,508.0,69.0
2011,10,591.0,10.0
2011,11,573.0,5.0
2011,12,587.0,15.0
2012,1,744.0,0.0
2012,2,696.0,0.0
2012,3,744.0,0.0
2012,4,719.0,1.0
2012,5,743.0,1.0
2012,6,715.0,4.0
2012,7,743.0,1.0
2012,8,744.0,0.0
2012,9,718.0,0.0
2012,10,739.0,0.0
2012,11,715.0,3.0
2012,12,742.0,1.0
2013,1,733.0,2.0
2013,2,650.0,0.0
2013,3,722.0,0.0
2013,4,706.0,0.0
2013,5,742.0,2.0
2013,6,720.0,0.0
2013,7,743.0,0.0
2013,8,739.0,0.0
2013,9,718.0,1.0
2013,10,744.0,0.0
2013,11,720.0,0.0
2013,12,744.0,0.0
2014,1,730.0,0.0
2014,2,622.0,0.0
2014,3,722.0,0.0
2014,4,698.0,0.0
2014,5,722.0,0.0
2014,6,698.0,0.0
2014,7,722.0,0.0
2014,8,722.0,0.0
2014,9,698.0,0.0
2014,10,722.0,0.0
2014,11,700.0,0.0
2014,12,743.0,1.0
2015,1,744.0,0.0
2015,2,672.0,0.0
2015,3,744.0,0.0
2015,4,718.0,0.0
2015,5,744.0,0.0
2015,6,720.0,0.0
2015,7,743.0,0.0
2015,8,743.0,0.0
2015,9,720.0,0.0
2015,10,723.0,0.0
2015,11,720.0,0.0
2015,12,743.0,0.0
