Year,Month,good
2011,1,7
2011,2,7
2011,3,7
2011,4,7
2011,5,7
2011,6,7
2011,7,17
2011,8,26
2011,9,25
2011,10,26
2011,11,25
2011,12,26
2012,1,31
2012,2,29
2012,3,31
2012,4,30
2012,5,31
2012,6,30
2012,7,31
2012,8,31
2012,9,30
2012,10,31
2012,11,30
2012,12,31
2013,1,31
2013,2,28
2013,3,31
2013,4,30
2013,5,31
2013,6,30
2013,7,31
2013,8,31
2013,9,30
2013,10,31
2013,11,30
2013,12,31
2014,1,31
2014,2,28
2014,3,31
2014,4,30
2014,5,31
2014,6,30
2014,7,31
2014,8,31
2014,9,30
2014,10,31
2014,11,30
2014,12,31
2015,1,31
2015,2,28
2015,3,31
2015,4,30
2015,5,31
2015,6,30
2015,7,31
2015,8,31
2015,9,30
2015,10,31
2015,11,25
2015,12,27
