Year,Month,good,moderate
2011,1,740.0,2.0
2011,2,670.0,2.0
2011,3,716.0,27.0
2011,4,702.0,16.0
2011,5,735.0,8.0
2011,6,720.0,0.0
2011,7,740.0,4.0
2011,8,724.0,20.0
2011,9,653.0,53.0
2011,10,697.0,44.0
2011,11,717.0,3.0
2011,12,728.0,11.0
2012,1,744.0,0.0
2012,2,696.0,0.0
2012,3,744.0,0.0
2012,4,716.0,2.0
2012,5,744.0,0.0
2012,6,715.0,4.0
2012,7,741.0,3.0
2012,8,741.0,0.0
2012,9,720.0,0.0
2012,10,739.0,0.0
2012,11,720.0,0.0
2012,12,741.0,0.0
2013,1,740.0,0.0
2013,2,672.0,0.0
2013,3,744.0,0.0
2013,4,720.0,0.0
2013,5,738.0,6.0
2013,6,718.0,0.0
2013,7,744.0,0.0
2013,8,741.0,0.0
2013,9,720.0,0.0
2013,10,743.0,0.0
2013,11,712.0,0.0
2013,12,744.0,0.0
2014,1,744.0,0.0
2014,2,671.0,0.0
2014,3,743.0,0.0
2014,4,720.0,0.0
2014,5,744.0,0.0
2014,6,719.0,0.0
2014,7,743.0,0.0
2014,8,733.0,0.0
2014,9,697.0,0.0
2014,10,734.0,0.0
2014,11,697.0,0.0
2014,12,711.0,0.0
2015,1,720.0,0.0
2015,2,650.0,0.0
2015,3,676.0,0.0
2015,4,698.0,0.0
2015,5,733.0,2.0
2015,6,715.0,0.0
2015,7,744.0,0.0
2015,8,743.0,0.0
2015,9,709.0,0.0
2015,10,707.0,1.0
2015,11,574.0,1.0
2015,12,707.0,0.0
