Year,Month,good
2011,1,728
2011,2,664
2011,3,736
2011,4,696
2011,5,738
2011,6,713
2011,7,744
2011,8,729
2011,9,697
2011,10,736
2011,11,713
2011,12,728
2012,1,737
2012,2,683
2012,3,731
2012,4,705
2012,5,744
2012,6,712
2012,7,744
2012,8,724
2012,9,702
2012,10,719
2012,11,720
2012,12,721
2013,1,531
2013,2,624
2013,3,713
2013,4,685
2013,5,709
2013,6,693
2013,7,731
2013,8,708
2013,9,701
2013,10,703
2013,11,675
2013,12,731
2014,1,711
2014,2,651
2014,3,726
2014,4,713
2014,5,732
2014,6,687
2014,7,698
2014,8,713
2014,9,666
2014,10,671
2014,11,660
2014,12,700
2015,1,702
2015,2,660
2015,3,703
2015,4,702
2015,5,719
2015,6,678
2015,7,726
2015,8,718
2015,9,639
2015,10,684
2015,11,687
2015,12,737
