Year,Month,good,inadequate,moderate
2011,1,74.0,0.0,0.0
2011,2,96.0,0.0,2.0
2011,3,95.0,0.0,3.0
2011,4,97.0,0.0,1.0
2011,5,95.0,0.0,3.0
2011,6,96.0,0.0,2.0
2011,7,95.0,0.0,3.0
2011,8,95.0,0.0,3.0
2011,9,506.0,0.0,22.0
2011,10,551.0,0.0,3.0
2011,11,409.0,0.0,1.0
2011,12,552.0,0.0,2.0
2012,1,737.0,0.0,7.0
2012,2,680.0,0.0,16.0
2012,3,730.0,0.0,14.0
2012,4,705.0,0.0,15.0
2012,5,732.0,0.0,12.0
2012,6,662.0,0.0,52.0
2012,7,650.0,0.0,94.0
2012,8,712.0,0.0,32.0
2012,9,701.0,0.0,17.0
2012,10,726.0,0.0,13.0
2012,11,706.0,0.0,13.0
2012,12,740.0,0.0,3.0
2013,1,742.0,0.0,2.0
2013,2,667.0,0.0,5.0
2013,3,742.0,0.0,2.0
2013,4,718.0,0.0,2.0
2013,5,735.0,0.0,8.0
2013,6,708.0,0.0,11.0
2013,7,710.0,0.0,12.0
2013,8,712.0,0.0,7.0
2013,9,640.0,0.0,7.0
2013,10,720.0,0.0,1.0
2013,11,707.0,0.0,1.0
2013,12,741.0,0.0,3.0
2014,1,711.0,0.0,2.0
2014,2,646.0,0.0,0.0
2014,3,716.0,0.0,5.0
2014,4,689.0,0.0,2.0
2014,5,729.0,0.0,6.0
2014,6,688.0,0.0,10.0
2014,7,716.0,1.0,13.0
2014,8,620.0,0.0,11.0
2014,9,553.0,0.0,20.0
2014,10,704.0,0.0,18.0
2014,11,691.0,0.0,7.0
2014,12,719.0,0.0,3.0
2015,1,740.0,0.0,4.0
2015,2,659.0,0.0,5.0
2015,3,735.0,0.0,9.0
2015,4,709.0,0.0,11.0
2015,5,720.0,0.0,15.0
2015,6,682.0,0.0,19.0
2015,7,713.0,0.0,31.0
2015,8,718.0,0.0,25.0
2015,9,712.0,0.0,8.0
2015,10,741.0,0.0,3.0
2015,11,695.0,0.0,5.0
2015,12,692.0,0.0,7.0
