Year,Month,good
2011,1,67
2011,2,91
2011,3,91
2011,4,91
2011,5,91
2011,6,91
2011,7,91
2011,8,91
2011,9,514
2011,10,547
2011,11,366
2011,12,539
2012,1,731
2012,2,657
2012,3,700
2012,4,678
2012,5,715
2012,6,678
2012,7,718
2012,8,731
2012,9,697
2012,10,712
2012,11,712
2012,12,736
2013,1,645
2013,2,570
2013,3,416
2013,4,546
2013,5,618
2013,6,590
2013,7,656
2013,8,626
2013,9,621
2013,10,700
2013,11,666
2013,12,726
2014,1,663
2014,2,470
2014,3,611
2014,4,629
2014,5,690
2014,6,597
2014,7,633
2014,8,552
2014,9,476
2014,10,607
2014,11,608
2014,12,651
2015,1,676
2015,2,608
2015,3,709
2015,4,684
2015,5,692
2015,6,662
2015,7,706
2015,8,717
2015,9,645
2015,10,700
2015,11,655
2015,12,642
