Year,Month,good,moderate
2011,1,5.0,0.0
2011,2,5.0,1.0
2011,3,5.0,1.0
2011,4,5.0,1.0
2011,5,6.0,0.0
2011,6,6.0,0.0
2011,7,6.0,0.0
2011,8,6.0,0.0
2011,9,17.0,5.0
2011,10,22.0,3.0
2011,11,17.0,5.0
2011,12,23.0,2.0
2012,1,30.0,1.0
2012,2,27.0,2.0
2012,3,28.0,3.0
2012,4,29.0,1.0
2012,5,31.0,0.0
2012,6,29.0,1.0
2012,7,30.0,1.0
2012,8,30.0,1.0
2012,9,24.0,6.0
2012,10,23.0,8.0
2012,11,24.0,6.0
2012,12,28.0,3.0
2013,1,12.0,19.0
2013,2,23.0,5.0
2013,3,28.0,3.0
2013,4,22.0,8.0
2013,5,27.0,2.0
2013,6,29.0,1.0
2013,7,29.0,2.0
2013,8,30.0,1.0
2013,9,26.0,4.0
2013,10,30.0,1.0
2013,11,28.0,2.0
2013,12,28.0,3.0
2014,1,30.0,1.0
2014,2,26.0,2.0
2014,3,31.0,0.0
2014,4,25.0,5.0
2014,5,29.0,1.0
2014,6,30.0,0.0
2014,7,30.0,1.0
2014,8,28.0,1.0
2014,9,25.0,2.0
2014,10,29.0,2.0
2014,11,29.0,1.0
2014,12,31.0,0.0
2015,1,31.0,0.0
2015,2,27.0,0.0
2015,3,31.0,0.0
2015,4,30.0,0.0
2015,5,30.0,1.0
2015,6,30.0,0.0
2015,7,30.0,1.0
2015,8,31.0,0.0
2015,9,30.0,0.0
2015,10,31.0,0.0
2015,11,30.0,0.0
2015,12,31.0,0.0
