Year,Month,good
2011,1,132
2011,2,139
2011,3,139
2011,4,139
2011,5,139
2011,6,139
2011,7,593
2011,8,583
2011,9,527
2011,10,588
2011,11,558
2011,12,579
2012,1,719
2012,2,677
2012,3,738
2012,4,706
2012,5,731
2012,6,696
2012,7,732
2012,8,709
2012,9,720
2012,10,708
2012,11,694
2012,12,704
2013,1,706
2013,2,654
2013,3,732
2013,4,713
2013,5,715
2013,6,713
2013,7,718
2013,8,729
2013,9,683
2013,10,703
2013,11,630
2013,12,682
2014,1,699
2014,2,655
2014,3,719
2014,4,719
2014,5,702
2014,6,674
2014,7,687
2014,8,559
2014,9,524
2014,10,658
2014,11,616
2014,12,710
2015,1,655
2015,2,613
2015,3,617
2015,4,664
2015,5,498
2015,6,683
2015,7,703
2015,8,707
2015,9,634
2015,10,688
2015,11,553
2015,12,714
