Year,Month,good,moderate
2011,1,146.0,0.0
2011,2,144.0,2.0
2011,3,142.0,4.0
2011,4,145.0,1.0
2011,5,146.0,0.0
2011,6,146.0,0.0
2011,7,593.0,7.0
2011,8,602.0,0.0
2011,9,578.0,0.0
2011,10,601.0,0.0
2011,11,578.0,0.0
2011,12,601.0,0.0
2012,1,743.0,1.0
2012,2,694.0,1.0
2012,3,743.0,1.0
2012,4,716.0,3.0
2012,5,740.0,4.0
2012,6,709.0,10.0
2012,7,740.0,4.0
2012,8,743.0,0.0
2012,9,720.0,0.0
2012,10,738.0,0.0
2012,11,717.0,0.0
2012,12,725.0,17.0
2013,1,721.0,2.0
2013,2,672.0,0.0
2013,3,744.0,0.0
2013,4,720.0,0.0
2013,5,742.0,2.0
2013,6,720.0,0.0
2013,7,743.0,0.0
2013,8,733.0,9.0
2013,9,718.0,2.0
2013,10,740.0,1.0
2013,11,717.0,3.0
2013,12,744.0,0.0
2014,1,743.0,0.0
2014,2,672.0,0.0
2014,3,741.0,3.0
2014,4,720.0,0.0
2014,5,744.0,0.0
2014,6,720.0,0.0
2014,7,744.0,0.0
2014,8,743.0,0.0
2014,9,719.0,0.0
2014,10,744.0,0.0
2014,11,720.0,0.0
2014,12,742.0,0.0
2015,1,723.0,11.0
2015,2,648.0,24.0
2015,3,640.0,29.0
2015,4,624.0,21.0
2015,5,552.0,15.0
2015,6,454.0,27.0
2015,7,716.0,22.0
2015,8,735.0,6.0
2015,9,720.0,0.0
2015,10,743.0,1.0
2015,11,714.0,6.0
2015,12,742.0,0.0
