Year,Month,good
2011,1,132
2011,2,139
2011,3,139
2011,4,139
2011,5,139
2011,6,139
2011,7,593
2011,8,582
2011,9,565
2011,10,587
2011,11,563
2011,12,579
2012,1,708
2012,2,653
2012,3,559
2012,4,676
2012,5,710
2012,6,705
2012,7,683
2012,8,677
2012,9,720
2012,10,707
2012,11,610
2012,12,668
2013,1,718
2013,2,654
2013,3,732
2013,4,706
2013,5,632
2013,6,620
2013,7,620
2013,8,628
2013,9,610
2013,10,653
2013,11,686
2013,12,691
2014,1,684
2014,2,660
2014,3,713
2014,4,714
2014,5,682
2014,6,681
2014,7,694
2014,8,694
2014,9,626
2014,10,653
2014,11,629
2014,12,704
2015,1,690
2015,2,642
2015,3,648
2015,4,664
2015,5,509
2015,6,683
2015,7,703
2015,8,711
2015,9,634
2015,10,700
2015,11,708
2015,12,721
